Entity,Code,Year,Share under $2 per day,Share under $20 per day,Share under $5 per day,Share under $10 per day,Share under $5.2 a day (roughly equivalent to the international poverty line)
Malta,MLT,1890,44.4902611318248,99.995913201812,93.1118119827401,99.6653156220124,93.986351319313
Malta,MLT,1910,32.4992790761351,99.9621695830263,85.7045058668171,98.6711272732325,87.12328727025
Malta,MLT,1929,32.1184914226415,99.6478634808559,78.6048769492394,95.940314861228,80.1390357911169
Malta,MLT,1950,20.6580759331363,99.5803588248737,71.0968565487029,94.4758995616878,73.0740083221552
Malta,MLT,1960,2.5258150080796,99.1074343912652,40.7192699729554,85.7004539006107,43.6001056628593
Malta,MLT,1970,0.201761218545746,92.6311511398832,12.4126867645691,55.8484831257138,13.9860831336797
Malta,MLT,1980,0.000461635010558748,45.6144834369349,0.33277114774256,7.89924920634317,0.414585543124049
Malta,MLT,1990,0.0000111654402354033,19.6399166159252,0.0272086722700657,1.55307592986116,0.0356725407278479
Malta,MLT,2000,1.04162896925999e-7,4.77646935441232,0.000975679517856996,0.149553210543465,0.00135399165038672
Malta,MLT,2005,4.630991787044e-8,3.61375449481114,0.000539158973842431,0.0970509673198862,0.000755134942108295
Malta,MLT,2010,1.11495470324692e-8,2.44654953264196,0.00020776874261334,0.0507520682432257,0.000296418737227426
Malta,MLT,2017,2.77685605744282e-10,0.632232123204254,0.000013671363790597,0.00674705932517977,0.0000203128030756967
Mauritania,MRT,1820,79.0680896214073,99.9093417835573,95.8024644321396,99.2318905997271,96.1433095463658
Mauritania,MRT,1850,82.6500058502313,99.980558886562,97.6030379237676,99.7134005899645,97.8428079167932
Mauritania,MRT,1870,76.5989912235381,99.8921033530516,95.130429362807,99.0926654352474,95.5201168873221
Mauritania,MRT,1890,76.6216664862571,99.999171001441,98.4266729637188,99.9378554754933,98.6520260880384
Mauritania,MRT,1910,75.2329755265362,99.9874908809764,96.9104581733954,99.7153279198636,97.2479789012428
Mauritania,MRT,1929,78.396428014522,99.9677837117544,96.644035029789,99.5623512979669,96.9645837010007
Mauritania,MRT,1950,68.4638973174213,99.9724039436702,95.194203023203,99.4752714970546,95.679354399784
Mauritania,MRT,1960,73.4431607390071,98.2953402931015,88.8819703732436,95.2502856429942,89.3562857933015
Mauritania,MRT,1970,61.1793337676313,96.2190555958294,81.0028046786997,90.7802865187887,81.6849878834397
